Date,Open,High,Low,Close,Adj. Close,Volume
"Oct 08, 2021",84.75,88.9,83.35,88.1,85.52,81657382
"Oct 11, 2021",89.7,90.2,87.1,87.5,84.94,73810234
"Oct 12, 2021",87.45,88.75,86.3,88.1,85.52,50251340
"Oct 13, 2021",88.95,89.15,87.55,87.85,85.28,37149033
"Oct 14, 2021",88.25,89.35,88.1,88.75,86.16,35030330
"Oct 18, 2021",90.5,93.5,89.25,93.05,90.33,109088221
"Oct 19, 2021",94.5,94.9,88.55,89.35,86.74,80356848
"Oct 20, 2021",89.1,93.1,86.9,92.2,89.5,76835176
"Oct 21, 2021",93.35,95.9,91.4,95.45,92.66,130557379
"Oct 22, 2021",96.2,97.4,93.8,94.55,91.79,82861993
"Oct 25, 2021",95.5,100.2,94.1,96.5,93.68,142700372
"Oct 26, 2021",96.9,103.4,96.5,99.9,96.98,148211296
"Oct 27, 2021",100.9,103.75,98.9,102.6,99.6,70719485
"Oct 28, 2021",100.2,101.45,97.4,97.8,94.94,62486211
"Oct 29, 2021",96.9,101.15,93,97.5,94.65,76217130
"Nov 01, 2021",98.4,99.4,97.25,99.05,96.15,30772894
"Nov 02, 2021",98.95,102.8,98.8,102.3,99.31,61862153
"Nov 03, 2021",102.7,104.35,100.2,100.9,97.95,69238647
"Nov 04, 2021",102.35,103.25,102,102.6,99.6,10830881
"Nov 08, 2021",103,106.4,101.45,105.65,102.56,66190588
"Nov 09, 2021",106.2,107.2,104.7,106.35,103.24,53688615
"Nov 10, 2021",105.3,108,99.25,100.7,97.76,113046964
"Nov 11, 2021",102.3,103.1,100.25,101.3,98.34,52639047
"Nov 12, 2021",102.25,102.75,99.8,101.35,98.39,25655521
"Nov 15, 2021",102,102.45,98,98.9,96.01,25227908
"Nov 16, 2021",99,99.95,96.05,96.75,93.92,29306507
"Nov 17, 2021",96,98.85,95.5,97.55,94.7,36609592
"Nov 18, 2021",97.9,98.7,95.65,96.25,93.44,33211505
"Nov 22, 2021",96.5,96.9,89.45,90.85,88.19,48614287
"Nov 23, 2021",90,93.8,89.4,93.4,90.67,39536347
"Nov 24, 2021",93.75,95.25,92.8,93.35,90.62,30226185
"Nov 25, 2021",93.25,93.6,92.05,93.05,90.33,31171968
"Nov 26, 2021",92,92,88,88.85,86.25,51003702
"Nov 29, 2021",88.1,88.6,85.05,86.25,83.73,33701300
"Nov 30, 2021",86.45,88.75,85.2,85.75,83.24,30142735
"Dec 01, 2021",86.6,87.95,85.7,87.55,84.99,30727942
"Dec 02, 2021",87.1,88.4,86.45,88.1,85.52,21585217
"Dec 03, 2021",87.8,90.6,87.55,88.6,86.01,28211821
"Dec 06, 2021",89.2,89.95,86.75,87.05,84.51,24712723
"Dec 07, 2021",88.45,90,87.8,89.55,86.93,21988255
"Dec 08, 2021",90.25,92.3,89.85,92.1,89.41,29858717
"Dec 09, 2021",92.35,92.9,91,92.25,89.55,21178261
"Dec 10, 2021",92.2,94.7,91.15,94.2,91.45,33983368
"Dec 13, 2021",95,95.3,92.85,93.15,90.43,22565314
"Dec 14, 2021",92.3,93.05,91,92.35,89.65,16368468
"Dec 15, 2021",91.9,93.05,89.95,90.25,87.61,19024060
"Dec 16, 2021",91,91.7,88,88.65,86.06,18541507
"Dec 17, 2021",88.4,88.6,84.65,84.9,82.42,29601923
"Dec 20, 2021",83.7,83.75,79.1,80.15,77.81,34196245
"Dec 21, 2021",80.8,82.25,78.55,78.95,76.64,27610330
"Dec 22, 2021",79.5,81.85,78.7,79.85,77.52,39202046
"Dec 23, 2021",80.8,82,80.2,81.2,78.83,23073036
"Dec 24, 2021",81.4,81.65,78.85,79.45,77.13,23406108
"Dec 27, 2021",78.5,80.1,77.05,79.85,77.52,26525913
"Dec 28, 2021",81,81.2,80.1,80.9,78.54,20504216
"Dec 29, 2021",80.5,81.4,80.4,80.95,78.58,19184063
"Dec 30, 2021",80.55,80.6,79.6,80.15,77.81,20421280
"Dec 31, 2021",80.1,82.3,80.1,81.95,79.55,22468020
"Jan 03, 2022",81.6,84.1,81.6,83.8,81.35,21177306
"Jan 04, 2022",84.1,84.65,83.1,83.9,81.45,24456776
"Jan 05, 2022",83.8,85.85,83.45,84.9,82.42,33925654
"Jan 06, 2022",83.45,87.3,83.25,86.6,84.07,34206729
"Jan 07, 2022",87.1,88.55,86.5,87.6,85.04,39877581
"Jan 10, 2022",88.1,92.45,87.7,92.15,89.46,42535778
"Jan 11, 2022",92.2,92.95,91.3,92.2,89.5,27427262
"Jan 12, 2022",92.6,93.5,92.1,92.75,90.04,23947845
"Jan 13, 2022",92.6,94.65,92.2,93.9,91.16,25289041
"Jan 14, 2022",93.1,94.6,92.95,93.6,90.86,17230925
"Jan 17, 2022",93.15,94.7,93.15,93.75,91.01,14506863
"Jan 18, 2022",93.85,95.9,91.7,92.25,89.55,36750278
"Jan 19, 2022",92.25,96.35,91.5,95.85,93.05,35333475
"Jan 20, 2022",95.95,97.5,95.55,96.7,93.87,37096905
